NM_URNA_CANDIDATO,SG_PARTIDO,IDEOLOGIA_PARTIDO,SG_UF,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,VR_BEM_CANDIDATO,AGRUPAMENTO_BENS,DS_GRAU_INSTRUCAO,DS_OCUPACAO,ST_REELEICAO,NM_EMAIL,NR_CANDIDATO
CAPI,PSB,Esquerda,AP,MASCULINO,PARDA,75.0,201602.0,BENS_G3,SUPERIOR COMPLETO,ZOOTECNISTA,N,NÃO DIVULGÁVEL,401
PROFESSOR TIAGO BOTELHO,PT,Esquerda,MS,MASCULINO,BRANCA,39.0,927126.0,BENS_G1,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,N,NÃO DIVULGÁVEL,133
ROGÉRIO MARINHO,PL,Direita,RN,MASCULINO,PARDA,59.0,1984484.0,BENS_G1,SUPERIOR COMPLETO,MINISTRO DE ESTADO,N,NÃO DIVULGÁVEL,222
FELICIANO AZUAGA,NOVO,Direita,MT,MASCULINO,PARDA,42.0,350480.0,BENS_G2,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,300
JUIZ ODILON,PSD,Direita,MS,MASCULINO,PARDA,73.0,1433031.0,BENS_G1,SUPERIOR COMPLETO,SERVIDOR PÚBLICO CIVIL APOSENTADO,N,NÃO DIVULGÁVEL,555
AFRÂNIO BOPPRÉ,PSOL,Esquerda,SC,MASCULINO,BRANCA,62.0,1318099.0,BENS_G1,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,500
LAERSON MATIAS,PSOL,Esquerda,PR,MASCULINO,BRANCA,60.0,858249.0,BENS_G1,SUPERIOR INCOMPLETO,BANCÁRIO E ECONOMIÁRIO,N,NÃO DIVULGÁVEL,500
KÁSSIO COELHO,PATRIOTA,Direita,MT,MASCULINO,BRANCA,43.0,430021.0,BENS_G2,ENSINO MÉDIO INCOMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,510
VILMAR ROCHA,PSD,Direita,GO,MASCULINO,PARDA,71.0,1988743.0,BENS_G1,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,N,NÃO DIVULGÁVEL,555
RENAN FILHO,MDB,Centro,AL,MASCULINO,BRANCA,43.0,1368669.0,BENS_G1,SUPERIOR COMPLETO,ECONOMISTA,N,NÃO DIVULGÁVEL,151
ANDREA SCHMIDT,PMB,Direita,TO,FEMININO,BRANCA,53.0,1280000.0,BENS_G1,SUPERIOR COMPLETO,AGRÔNOMO,N,NÃO DIVULGÁVEL,353
PROF. TITO BELLINI,PCB,Esquerda,SP,MASCULINO,BRANCA,46.0,104000.0,BENS_G3,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,N,NÃO DIVULGÁVEL,211
ANTÔNIO GALVAN,PTB,Direita,MT,MASCULINO,BRANCA,65.0,14092852.0,BENS_G1,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,144
LEONARDO RIZZO,NOVO,Direita,GO,MASCULINO,BRANCA,66.0,16049775.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,300
CLARISSA,UNIÃO,Direita,RJ,FEMININO,BRANCA,40.0,355937.0,BENS_G2,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,444
GUARACY,PTB,Direita,AP,MASCULINO,BRANCA,48.0,5325000.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,145
ARTHUR NETO,PSDB,Centro,AM,MASCULINO,BRANCA,77.0,2566758.0,BENS_G1,SUPERIOR COMPLETO,DIPLOMATA,N,NÃO DIVULGÁVEL,451
VIVIAN MENDES,UP,Esquerda,SP,FEMININO,BRANCA,42.0,116595.0,BENS_G3,SUPERIOR COMPLETO,RELAÇÕES-PÚBLICAS,N,NÃO DIVULGÁVEL,800
ANA AMÉLIA LEMOS,PSD,Direita,RS,FEMININO,BRANCA,77.0,6063946.0,BENS_G1,SUPERIOR COMPLETO,JORNALISTA E REDATOR,N,NÃO DIVULGÁVEL,555
ALINE SLEUTJES,PROS,Centro,PR,FEMININO,BRANCA,43.0,457425.0,BENS_G2,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,900
BESSA,SOLIDARIEDADE,Centro,AM,MASCULINO,BRANCA,49.0,191194.0,BENS_G3,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,777
ASTRONAUTA MARCOS PONTES,PL,Direita,SP,MASCULINO,BRANCA,59.0,1872719.0,BENS_G1,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,222
ELIELTON LIRA,AVANTE,Centro,PA,MASCULINO,BRANCA,38.0,300000.0,BENS_G2,SUPERIOR COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,700
